title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,description,id,type
AZUR LANE,,,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,true,true,"[""Action/Adventure"",""Fan Service""]","[""Toho""]",/shows/azur-lane/,azur-lane,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|R15""]",959890,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Azur Lane, a combination of all the different Camps in the world, was once successful in repelling the underwater menace, the Siren. Now splintered, they must face a new threat in Red Axis, former allies who crave to wield this otherworldly Siren technology for their own nefarious desires! Who will be victorious in the never-ending war between these battleship girls!?",AZL,Show
Absolute Duo,Absolute Duo,Absolute Duo,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,,false,true,false,false,false,true,,"[""Action/Adventure"",""Fan Service""]","[""Kadokawa Pictures""]",/shows/absolute-duo/,absolute-duo,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA"",""CRRBR|A16"",""RTC|C"",""OFLC|MA15+"",""FVLB|R16""]",73224,"[""Uncut"",""Simulcast""]","[""episode""]",1,"After a traumatic accident takes his loved one, Tor Kokonoe enrolls Koryo Academy, a school where every student has a weapon that is their soul manifestation. Fueled by his desire for revenge, Tor is dismayed to discover his soul is not a weapon…but a shield.",ABD,Show
Accel World,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Fantasy""]","[""Viz""]",/shows/accel-world-2/,accel-world-2,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|PG"",""FVLB|PG"",""OFLC|PG"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1403801,"[""Uncut""]","[""episode"",""movie""]",1,"The year is 2046. Haruyuki Arita is a young boy who finds himself on the lowest social rungs of his school. Ashamed of his miserable life, Haruyuki can only cope by indulging in virtual games. But that all changes when Kuroyukihime, the most popular girl in school, introduces him to a mysterious program called Brain Burst and a virtual reality called the Accel World.",AWL,Show
Ace Attorney,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Drama""]","[""NTV Nippon Television Network Corporation""]",/shows/ace-attorney/,ace-attorney,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""NCS|M"",""OFLC|M"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|15""]",532271,"[""Uncut"",""Simulcast""]","[""episode"",""movie""]",1,"In the near future, an overflowing court system dictates that all trials can only convene for 3 days - then a verdict must be reached.",ACA,Show
Actors: Songs Connection,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Slice of Life"",""Comedy""]","[""Pony Canyon""]",/shows/actors-songs-connection/,actors-songs-connection,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",961444,"[""Simulcast"",""Uncut""]","[""episode""]",1,"A VOCALOID x voice actors collaboration, featuring songs from EXIT TUNES. Within a sprawling academic metropolis lies an exclusive academy where students are encouraged to join clubs such as singing and archaeology to earn points for recognition. The most important of these is the big singing contest where all contestants have to sing in front of the entire school!",ACT,Show
Adachi and Shimamura,Adachi and Shimamura,Adachi and Shimamura,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,false,false,,false,,,,,,"[""Romance"",""Slice of Life""]","[""Pony Canyon""]",/shows/adachi-and-shimamura/,adachi-and-shimamura,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1158134,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Adachi spends her school days skipping class until she meets fellow delinquent Shimamura and the two become fast friends. Cutting class together deepens their friendship but soon unexpected emotions blossom. As awkwardness and confusion settle in, the two girls travel this sea of emotions without a paddle as they learn about each other’s feelings.",ASH,Show
Aesthetica of a Rogue Hero,,,true,true,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Showgate""]",/shows/aesthetica-of-a-rogue-hero/,aesthetica-of-a-rogue-hero,2012,2012,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|R18+"",""FVLB|R18+""]",21640,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Hero defeats bad guy. Good triumphs over evil. The end. Or, at least that's how it usually goes.  But what happens after the hero goes home? Ohtorizawa Akatsuki, is about to find out that sometimes the greatest adventure starts after the happy ending.",ARH,Show
Africa Salaryman,Temporada 1,Temporada 1,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false,false,false,false,false,"[""Comedy"",""Slice of Life""]","[""Kadokawa""]",/shows/africa-salaryman/,africa-salaryman,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CRRBR|A14"",""CBSC|14"",""RTE|PS"",""RTC|B15"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",961366,"[""Simulcast"",""Uncut""]","[""episode""]",1,"Imagine your co-workers–a lion, toucan, and lizard! Hey it can happen right? Africa Salaryman is a comedic take on office life of three African jungle animals who could be your potential co-workers in corporate America. It’s full of ridiculous office place antics and hilarious scenarios, that keeps things quite entertaining, while the animals cope with their working environment.",AFS,Show
Afro Samurai,,,true,-,-,-,-,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,,"[""Action/Adventure"",""Sci Fi""]","[""GDH GONZO DIGIMATION""]",/shows/afro-samurai/,afro-samurai,2007,2007,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|R16""]",36855,"[""Uncut""]","[""episode"",""movie""]",1,"He’s a legend with an ice cold soul and a jones for revenge: Afro Samurai. As a kid, he saw his father slaughtered. Now a man, Afro journeys to the mountain to face destiny. The perpetrators are gonna get what they deserve. Starring Samuel L. Jackson.",AFR,Show
After School Dice Club,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Slice of Life"",""Comedy""]","[""Asahi BC""]",/shows/after-school-dice-club/,after-school-dice-club,2019,2019,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""DJCTQ|12"",""RTC|B"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG""]",959420,"[""Uncut"",""Simulcast""]","[""episode""]",1,"During a beautiful spring day in Kyoto, Aya and Miki follow the student council president Midori to a board game shop. The three students end up discovering a German board game that causes them to realize their shared passion for games. In the coming days, many more board games will be found and played!",ASD,Show
Ah! My Goddess: Flights of Fancy,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Romance"",""Comedy""]","[""Kodansha""]",/shows/ah-my-goddess-flights-of-fancy/,ah-my-goddess-flights-of-fancy,2006,2006,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""OFLC|PG"",""FVLB|PG""]",103113,"[""Uncut""]","[""episode""]",1,"The song may say ""thank heaven for little girls"", but who is college student Keiichi Morisato supposed to thank when three honest to goodness Goddesses move in and take over his life? After all, according to most mythologies, relationships between mortals and immortals usually leads to mortifying complications, so we're already talking about an extremely mixed blessing!",AMG,Show
Ai Tenchi Muyo,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Sci Fi"",""Shounen""]","[""YTE""]",/shows/ai-tenchi-muyo/,ai-tenchi-muyo,2014,2014,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",557617,"[""Uncut"",""Simulcast""]","[""episode""]",1,"Thanks to Washu, the universe has been thrown into chaos and it’s up to Tenchi to clean up the mess. But to do so he’s going undercover as a teacher—at an all-girl’s school! What awaits him beyond the attention of cute girls at this not-so-ordinary school? And will he be able to balance timelines and trouble that come with this latest adventure? Join the harem and the fun in this series of shorts!",ATE,Show
